antecedents,consequents,support,confidence,lift
"MntGoldProds, MntSweetProducts","MntFruits, MntMeatProducts",0.714002969,0.89516129,1.089831908
MntFruits,"MntGoldProds, MntSweetProducts",0.714002969,0.869277108,1.089831908
"MntFruits, MntMeatProducts","MntGoldProds, MntSweetProducts",0.714002969,0.869277108,1.089831908
"MntMeatProducts, MntSweetProducts",MntFishProducts,0.730331519,0.898903776,1.08979276
MntFishProducts,"MntMeatProducts, MntSweetProducts",0.730331519,0.885422915,1.08979276
MntSweetProducts,"MntFishProducts, MntMeatProducts",0.730331519,0.898356665,1.089783205
"MntFishProducts, MntMeatProducts",MntSweetProducts,0.730331519,0.885954382,1.089783205
"MntGoldProds, MntSweetProducts",MntFishProducts,0.716971796,0.898883375,1.089768027
MntFishProducts,"MntGoldProds, MntSweetProducts",0.716971796,0.869226155,1.089768027
"MntSweetProducts, MntWines","MntFishProducts, MntMeatProducts",0.725383474,0.898284314,1.089695437
"MntFishProducts, MntMeatProducts","MntSweetProducts, MntWines",0.725383474,0.879951981,1.089695437
"MntGoldProds, MntMeatProducts, MntSweetProducts",MntFishProducts,0.716476992,0.898820608,1.089691931
MntFishProducts,"MntGoldProds, MntMeatProducts, MntSweetProducts",0.716476992,0.868626275,1.089691931
"MntGoldProds, MntSweetProducts","MntFishProducts, MntMeatProducts",0.716476992,0.898263027,1.089669615
"MntFishProducts, MntMeatProducts","MntGoldProds, MntSweetProducts",0.716476992,0.869147659,1.089669615
"MntFishProducts, MntGoldProds, MntMeatProducts",MntFruits,0.721425037,0.895027624,1.089669174
MntFruits,"MntFishProducts, MntGoldProds, MntMeatProducts",0.721425037,0.878313253,1.089669174
MntSweetProducts,"MntFishProducts, MntWines",0.725383474,0.892270237,1.089594048
MntSweetProducts,"MntFishProducts, MntMeatProducts, MntWines",0.725383474,0.892270237,1.089594048
"MntFishProducts, MntWines",MntSweetProducts,0.725383474,0.885800604,1.089594048
"MntFishProducts, MntMeatProducts, MntWines",MntSweetProducts,0.725383474,0.885800604,1.089594048
"MntFishProducts, MntMeatProducts","MntGoldProds, MntSweetProducts, MntWines",0.711528946,0.863145258,1.089579367
"MntGoldProds, MntSweetProducts, MntWines","MntFishProducts, MntMeatProducts",0.711528946,0.898188632,1.089579367
"MntGoldProds, MntSweetProducts","MntFishProducts, MntWines",0.711528946,0.892059553,1.089336772
"MntGoldProds, MntSweetProducts","MntFishProducts, MntMeatProducts, MntWines",0.711528946,0.892059553,1.089336772
